,branch,PT,TY,LAB,V_plc,L2-NORM,PERIOD,PAR(5),PAR(6),PAR(7),PAR(8),PAR(40),PAR(41),PAR(42),PAR(43),PAR(80)
551,-5,551,0,0,0.05854373951,3.5839426821,104.10540729,0.35360774073,3.6343815672,0.34650963249,0.048979618223,0.074554677365,3.4121871933,0.026751960112,0.021051040163,3.0
552,-5,552,0,0,0.058539112257,3.5875759851,102.71958855,0.35484715327,3.6369639172,0.34548766571,0.048961236305,0.074666673725,3.4187205892,0.026473005157,0.021089768206,3.0
553,-5,553,0,0,0.058535055804,3.5911791109,101.28933358,0.35606426945,3.6395490538,0.34446060286,0.048944097342,0.074778568461,3.4252191591,0.026204287093,0.021128674565,3.0
554,-5,554,0,0,0.058532171003,3.59474214,99.804956449,0.35723607427,3.6421195956,0.34343724648,0.048928006058,0.074890217481,3.4316757074,0.025942757808,0.021167850367,3.0
555,-5,555,5,9,0.058531395344,3.5972889905,98.688691034,0.35805378809,3.6440015016,0.34269724272,0.048917323036,0.074970570581,3.4363266318,0.025757944858,0.021196601149,3.0
556,-5,-556,0,0,0.058536675349,3.6024336451,96.23090817,0.35970386224,3.6478321747,0.34112253168,0.048901007161,0.075136479858,3.4458742929,0.0253839463,0.021258328374,4.0
557,-5,-557,0,0,0.058561513413,3.6072964404,93.487928457,0.36132679961,3.651526227,0.33943877297,0.048901451273,0.075300264024,3.4552803208,0.025006950854,0.02132633478,4.0
558,-5,-558,0,0,0.058630851023,3.6116056643,90.306490248,0.36297056486,3.6548791627,0.33752494616,0.048938034524,0.075460806322,3.4644056184,0.024599937547,0.021409364178,4.0
559,-5,-559,0,0,0.058794440922,3.614791284,86.497196758,0.3647550017,3.6573953122,0.33512325316,0.049051214517,0.075610516188,3.4728165803,0.024115395918,0.021523600332,4.0
560,-5,-560,0,0,0.059118639138,3.6158937016,82.102872489,0.36676949725,3.6582235577,0.33199955339,0.049295608986,0.07573098417,3.479399417,0.02350549398,0.021687066554,4.0
561,-5,-561,0,0,0.059594813454,3.6145028163,77.825494577,0.36881903551,3.6569311753,0.32841644296,0.049665975248,0.075801268861,3.4829632231,0.022829481963,0.021888468917,4.0
562,-5,-562,0,0,0.060139843776,3.6114934781,74.187933088,0.37068601207,3.6542090036,0.32484449086,0.050095549316,0.075827897756,3.48395998,0.02217548263,0.022099303739,4.0
563,-5,-563,0,0,0.060716919969,3.6076154105,71.092965345,0.37242757245,3.6506904488,0.32136831712,0.050553586348,0.075827551045,3.4833828835,0.021556721744,0.022312652791,4.0
564,-5,-564,0,0,0.061316026206,3.6032091509,68.389256701,0.37406943293,3.6466653591,0.31796739819,0.051030231594,0.075809857257,3.4817995598,0.020966799484,0.022527607106,4.0
565,-5,-565,0,0,0.06193229802,3.5984498986,65.981472824,0.37562436933,3.6422952895,0.31462908473,0.051521822859,0.075780055445,3.4795137761,0.020401430116,0.022744264237,4.0
566,-5,-566,0,0,0.062562872167,3.5934391575,63.807183367,0.37714530727,3.6376665816,0.31134460837,0.052025647213,0.07574171011,3.4767131442,0.019858407728,0.022963021294,4.0
567,-5,-567,0,0,0.063205965765,3.5882402038,61.822876231,0.37860485399,3.632840166,0.30810914181,0.052539531174,0.07569707013,3.4735124688,0.019335752958,0.023182986847,4.0
568,-5,-568,0,0,0.063860403794,3.5828948466,59.996859477,0.38004161905,3.627856227,0.30492136444,0.05306315448,0.075646846169,3.4699942591,0.018830122986,0.023404980722,4.0
569,-5,-569,0,0,0.064525369036,3.5774320661,58.305250482,0.3814383002,3.6227417862,0.30177750396,0.053595088505,0.075592325645,3.4662166491,0.018343441688,0.023628738939,4.0
570,-5,-570,0,0,0.065200265537,3.5718727645,56.729545144,0.38279792245,3.6175189471,0.29867655996,0.054134961496,0.075534692274,3.4622195539,0.017871129941,0.023854360001,4.0
571,-5,-571,0,0,0.065884640802,3.5662325267,55.25507088,0.38416418762,3.6122022898,0.29561804458,0.054682443842,0.075473698006,3.4580364207,0.01741458128,0.024082115036,4.0
572,-5,-572,0,0,0.066578139449,3.5605233031,53.869963309,0.38549256959,3.6068046046,0.29260095861,0.055237387093,0.075410688899,3.4536939362,0.016973969618,0.024311443305,4.0
573,-5,-573,0,0,0.067280474413,3.5547544782,52.564467059,0.38679443842,3.601336016,0.28962469063,0.055799467756,0.075344945325,3.4492118009,0.01654474249,0.024542588825,4.0
574,-5,-574,0,0,0.067991408361,3.5489335745,51.330444478,0.38809941822,3.5958030962,0.28668934406,0.056368895613,0.075277637003,3.444603796,0.016130168483,0.024775425535,4.0
575,-5,-575,0,0,0.06871074127,3.543066729,50.161021926,0.38937820135,3.5902144137,0.28379369507,0.056944347846,0.075208886121,3.4398851691,0.015728286283,0.025010187898,4.0
576,-5,-576,0,0,0.069438301851,3.5371590269,49.05032957,0.39063727893,3.5845743784,0.28093921025,0.057526271784,0.075138869395,3.4350678051,0.015338055336,0.025246759195,4.0
577,-5,-577,0,0,0.070173941479,3.5312147388,47.993306289,0.39189329589,3.578887636,0.27812403655,0.058115316504,0.075066871364,3.4301618191,0.014959650574,0.02548516441,4.0
578,-5,-578,0,0,0.070917529759,3.5252374941,46.985550876,0.39313748647,3.5731589375,0.27534837323,0.058710038431,0.074994211867,3.4251743669,0.014593633032,0.025725308112,4.0
579,-5,-579,0,0,0.071668951232,3.5192304104,46.023206824,0.39436575565,3.5673914821,0.2726127543,0.059310805393,0.07492058908,3.4201127113,0.014236753127,0.025967237514,4.0
580,-5,-580,0,0,0.072428102866,3.5131961902,45.102871869,0.39558525849,3.5615878251,0.26991627306,0.059917603659,0.074846049716,3.414981603,0.01389163518,0.026211115797,4.0
581,-5,-581,0,0,0.073194892105,3.5071371964,44.22152609,0.39679359054,3.5557521104,0.26725873863,0.060530411551,0.074770762359,3.4097886146,0.013555699484,0.026456472466,4.0
582,-5,-582,0,0,0.073969235333,3.5010555098,43.376474113,0.39798908608,3.5498863149,0.26463995266,0.061148960986,0.074694786236,3.4045384409,0.013231166767,0.026703582097,4.0
